name,ref_energy,n_mol,polymorph
BAQHOS02,-14766.899838770114,4,BAQHOS
BARWEA01,-30640.37359345991,4,BARWEA
BARWEA02,-30640.67053617834,4,BARWEA
BARWEA,-30640.7592360449,2,BARWEA
BAWNIW08,-4678.349935403512,4,BAWNIW
BAWNIW07,-4678.354448006962,4,BAWNIW
BAWNIW,-4678.2705569528,8,BAWNIW
BAWNIW02,-4678.3443188508545,12,BAWNIW
BEDMIG03,-17741.09734284997,8,BEDMIG
BEDMIG05,-17740.909746220226,4,BEDMIG
BEDMIG01,-17737.20220287627,8,BEDMIG
BEDMIG17,-17741.724998398637,4,BEDMIG
BEDMIG02,-17741.751213131927,2,BEDMIG
BEDMIG04,-17738.208593648775,4,BEDMIG
BEDMIG08,-17743.093340949836,4,BEDMIG
BELBUP,-9461.86577725605,8,BELBUP
BELBUP03,-9461.1624527431,4,BELBUP
BELBUP02,-9460.864337008286,4,BELBUP
BENCLN02,-10271.32437164878,8,BENCLN
BENCLN05,-10268.931852038962,4,BENCLN
BENCLN06,-10270.800564232282,8,BENCLN
BENZAC22,-9685.4607868268,4,BENZAC
BENZAC23,-9685.35245250395,4,BENZAC
BENZAC12,-9685.388540547288,4,BENZAC
BERTOH03,-9906.44850732865,4,BERTOH
BERTOH,-9907.53543786945,4,BERTOH
BERTOH01,-9904.928115513225,4,BERTOH
BEWKUJ,-17363.655230882498,8,BEWKUJ
BEWKUJ12,-17294.992401496056,8,BEWKUJ
BEWKUJ11,-17318.530959887084,4,BEWKUJ
BIBZUJ03,-24562.542342882512,4,BIBZUJ
BIBZUJ02,-24564.998778859976,2,BIBZUJ
BIBZUJ,-24556.92425747955,4,BIBZUJ
BICCIZ12,-26710.262470621175,4,BICCIZ
BICCIZ05,-26714.112737592288,4,BICCIZ
BICCIZ02,-26711.587425797577,4,BICCIZ
BILCOO13,-9715.132305455994,8,BILCOO
BILCOO11,-9715.675870829582,8,BILCOO
BILCOO10,-9715.11093161637,8,BILCOO
BILNOC01,-7557.915940736034,3,BILNOC
BILNOC04,-7561.837824422033,3,BILNOC
BILNOC05,-7521.533351849933,3,BILNOC
BIRKIW,-8354.930584108424,4,BIRKIW
BIRKIW03,-8353.552488612213,4,BIRKIW
BIRKIW02,-8355.528105703106,8,BIRKIW
BISMEV04,-5976.546841484894,8,BISMEV
BISMEV,-5975.5062089095245,4,BISMEV
BISMEV07,-5974.339449815488,4,BISMEV
BISMEV01,-5975.7314287795625,8,BISMEV
BIXGIY04,-18637.228126905888,4,BIXGIY
BIXGIY05,-18630.676957259475,2,BIXGIY
BIXGIY02,-18631.533756602526,2,BIXGIY
BIXGIY,-18624.572105272724,4,BIXGIY
BIXLUR03,-13849.5193508811,4,BIXLUR
BIXLUR,-13846.656131249089,4,BIXLUR
BIXLUR02,-13851.778322346052,2,BIXLUR
BIYSEH,-23260.93790994649,4,BIYSEH
BIYSEH22,-23256.39877155361,8,BIYSEH
BIYSEH11,-23260.271957692225,2,BIYSEH
BIYSEH21,-23241.0231032248,5,BIYSEH
BIYSEH06,-23260.104307044712,4,BIYSEH
BIYSEH17,-23256.8471816111,4,BIYSEH
BIYSEH08,-23267.78819370625,4,BIYSEH
BIZJUP03,-9640.458243960724,4,BIZJUP
BIZJUP04,-9632.784122546038,4,BIZJUP
BIZJUP,-9641.392645465638,4,BIZJUP
BOKTEE05,-20868.95539437298,8,BOKTEE
BOKTEE02,-20864.9716255698,8,BOKTEE
BOKTEE,-20865.110732094912,8,BOKTEE
BOKTEE04,-20865.81415743469,4,BOKTEE
BOLMIZ,-11742.692953368967,16,BOLMIZ
BOLMIZ01,-11746.445562203087,8,BOLMIZ
BOLMIZ02,-11743.296898090706,16,BOLMIZ
BOQHOE,-7764.485149154974,4,BOQHOE
BOQHOE02,-7765.686958596176,2,BOQHOE
BOQHOE04,-7765.50745549005,2,BOQHOE
BOQHOE01,-7766.7876850447,2,BOQHOE
BOWRUC02,-4950.163760962121,12,BOWRUC
BOWRUC03,-4953.210023935919,16,BOWRUC
BOWRUC,-4949.487163035383,12,BOWRUC
BPYRDB06,-7263.820919034224,2,BPYRDB
BPYRDB08,-7263.741330487424,2,BPYRDB
BPYRDB02,-7262.1203583661745,8,BPYRDB
BPYRDB07,-7263.77370940615,2,BPYRDB
BZAMID11,-10212.5948884151,4,BZAMID
BZAMID06,-10199.906648028313,8,BZAMID
BZAMID,-10215.396544828012,4,BZAMID
BZDMAZ,-9959.442076109488,4,BZDMAZ
BZDMAZ05,-9953.472303243345,8,BZDMAZ
BZDMAZ03,-9962.558096813638,8,BZDMAZ
CABCUD20,-24617.55051074455,2,CABCUD
CABCUD14,-24622.453663765427,2,CABCUD
CABCUD06,-24624.0152324843,4,CABCUD
CABCUD39,-24625.4476275676,2,CABCUD
CABCUD,-24629.167629899,2,CABCUD
CACDAM,-11033.0432298383,4,CACDAM
CACDAM01,-11033.048002227612,4,CACDAM
CACDAM02,-11033.296246071986,8,CACDAM
CACKOJ,-18139.653839041064,8,CACKOJ
CACKOJ01,-18144.973593547664,8,CACKOJ
CACKOJ03,-18140.40440502214,4,CACKOJ
CADKUP03,-20370.353872081098,8,CADKUP
CADKUP,-20367.00145082511,8,CADKUP
CADKUP02,-20367.683827117893,8,CADKUP
CADLIE03,-20418.37307781045,8,CADLIE
CADLIE02,-20418.708729949056,8,CADLIE
CADLIE,-20414.966269166023,8,CADLIE
CAGNOR01,-10522.131598507976,4,CAGNOR
CAGNOR,-10525.679524424912,4,CAGNOR
CAGNOR02,-10523.416787150412,4,CAGNOR
CAPLAC05,-10793.070360675863,4,CAPLAC
CAPLAC,-10794.066915043832,8,CAPLAC
CAPLAC02,-10790.932998181275,4,CAPLAC
CAVVUQ,-23058.010056844934,4,CAVVUQ
CAVVUQ02,-23053.47845766935,4,CAVVUQ
CAVVUQ01,-23057.142865584963,4,CAVVUQ
CBMZPN11,-19799.385828136987,8,CBMZPN
CBMZPN16,-19793.57116528048,8,CBMZPN
CBMZPN01,-19799.195352997875,4,CBMZPN
CBMZPN12,-19796.076844186788,8,CBMZPN
CEBGOF05,-11917.851846610823,4,CEBGOF
CEBGOF01,-11915.086160770765,12,CEBGOF
CEBGOF03,-11915.026744342911,4,CEBGOF
CEBGOF04,-11910.380051346589,4,CEBGOF
CEKGUU,-6656.0917955696505,2,CEKGUU
CEKGUU06,-6651.7708045757,2,CEKGUU
CEKGUU02,-6653.373698784925,4,CEKGUU
CELBEA,-21211.100926080973,4,CELBEA
CELBEA02,-21210.810012951413,4,CELBEA
CELBEA01,-21209.06950339275,2,CELBEA
CEMJOT01,-16566.328435459112,4,CEMJOT
CEMJOT,-16567.77509560845,4,CEMJOT
CEMJOT03,-16567.775369143423,4,CEMJOT
CIDREP,-39664.053763786054,2,CIDREP
CIDREP01,-39663.14811215779,4,CIDREP
CIDREP03,-39667.223259854174,2,CIDREP
CILHIO38,-30007.018624462904,2,CILHIO
CILHIO35,-30000.642164789024,2,CILHIO
CILHIO07,-29997.26721259705,1,CILHIO
CINMAC,-12129.127135186824,4,CINMAC
CINMAC06,-12125.189504907612,4,CINMAC
CINMAC08,-12125.674226250612,4,CINMAC
CLACAM02,-3186.4336444380624,4,CLACAM
CLACAM01,-3189.353880915975,4,CLACAM
CLACAM,-3191.6695532384497,4,CLACAM
CMXLCS01,-12265.9293085619,1,CMXLCS
CMXLCS,-12269.130900124062,4,CMXLCS
CMXLCS02,-12269.078757217938,4,CMXLCS
COMXAD,-11092.700943275688,4,COMXAD
COMXAD02,-11092.423195041947,4,COMXAD
COMXAD03,-11095.092042746914,4,COMXAD
COSXEO01,-9487.24166416445,4,COSXEO
COSXEO,-9484.797562949994,8,COSXEO
COSXEO02,-9483.921104366073,16,COSXEO
CTMTNA,-4214.808476916663,24,CTMTNA
CTMTNA06,-4209.9218060263165,12,CTMTNA
CTMTNA04,-4212.792484109637,24,CTMTNA
CTMTNA02,-4212.3552270749105,24,CTMTNA
CUBHUE02,-14037.19759993969,4,CUBHUE
CUBHUE01,-14047.830271302151,4,CUBHUE
CUBHUE,-14048.948571528575,4,CUBHUE
CUNKAY01,-21990.02090023518,3,CUNKAY
CUNKAY,-21993.1100878176,8,CUNKAY
CUNKAY02,-21992.88345130655,4,CUNKAY
CUPREM02,-20363.146557639466,4,CUPREM
CUPREM01,-20365.49737968865,4,CUPREM
CUPREM,-20364.66744779991,4,CUPREM
CURJEE,-10930.062983862736,4,CURJEE
CURJEE02,-10930.260803440053,4,CURJEE
CURJEE01,-10926.376151868277,4,CURJEE
CUXKAK,-15634.621569898136,4,CUXKAK
CUXKAK01,-15632.419325582874,2,CUXKAK
CUXKAK03,-15624.980344625925,8,CUXKAK
CYACAC02,-5832.935484186112,4,CYACAC
CYACAC01,-5831.463882503467,12,CYACAC
CYACAC,-5834.277460522575,4,CYACAC
DADDER01,-18067.37421021195,2,DADDER
DADDER04,-18066.803050852,4,DADDER
DADDER,-18068.62062153289,8,DADDER
DAKCEX04,-3625.1110168396126,16,DAKCEX
DAKCEX06,-3625.266194931478,16,DAKCEX
DAKCEX05,-3625.2123541908686,8,DAKCEX
DAKCEX,-3624.9271577372538,16,DAKCEX
DALGON01,-18566.76423313054,4,DALGON
DALGON,-18576.424880592036,4,DALGON
DALGON02,-18580.78860816946,8,DALGON
DAMPEO,-18755.916080226827,4,DAMPEO
DAMPEO03,-18765.53702688477,8,DAMPEO
DAMPEO01,-18755.306689650475,8,DAMPEO
DAMPEO02,-18762.975411402746,8,DAMPEO
DANGAL13,-5635.631415132837,4,DANGAL
DANGAL11,-5637.8505411873375,4,DANGAL
DANGAL14,-5635.612930657144,8,DANGAL
DAVMUJ02,-22329.414728910328,2,DAVMUJ
DAVMUJ01,-22320.708239945972,4,DAVMUJ
DAVMUJ,-22329.869921983925,2,DAVMUJ
DAXTIH02,-28791.011763100112,4,DAXTIH
DAXTIH,-28778.468049042094,4,DAXTIH
DAXTIH01,-28779.247982162626,2,DAXTIH
DBEZLM04,-18801.26946595051,4,DBEZLM
DBEZLM03,-18802.536450406184,8,DBEZLM
DBEZLM02,-18809.04157656635,8,DBEZLM
DBEZLM,-18811.67983092812,8,DBEZLM
DBEZLM28,-18801.041884851315,4,DBEZLM
DCLBEN05,-3583.6957334480003,2,DCLBEN
DCLBEN03,-3584.62111046965,4,DCLBEN
DCLBEN01,-3584.0883229529877,4,DCLBEN
DEDMUX,-16902.04603696695,4,DEDMUX
DEDMUX01,-16902.2787443142,2,DEDMUX
DEDMUX02,-16899.4344533507,4,DEDMUX
DEHKUA04,-17822.857609126386,4,DEHKUA
DEHKUA03,-17807.48885623935,4,DEHKUA
DEHKUA02,-17812.69818149254,4,DEHKUA
DEKDIG03,-17500.45236532845,4,DEKDIG
DEKDIG02,-17500.443599786806,8,DEKDIG
DEKDIG,-17502.54437432515,2,DEKDIG
DETYLE05,-7761.367598922362,4,DETYLE
DETYLE,-7764.3297817716,8,DETYLE
DETYLE06,-7757.259091296024,2,DETYLE
DETYLE01,-7762.152416113588,4,DETYLE
DHANQU06,-8929.610441460774,8,DHANQU
DHANQU04,-8928.183596134371,16,DHANQU
DHANQU01,-8927.206499233018,8,DHANQU
DHANQU05,-8928.78557256211,16,DHANQU
DHNAPH17,-6786.457553009425,8,DHNAPH
DHNAPH04,-6783.8930931496,8,DHNAPH
DHNAPH05,-6785.112265066549,4,DHNAPH
DHNAPH02,-6783.877057101387,4,DHNAPH
DICNUY02,-21021.70136846115,2,DICNUY
DICNUY01,-21019.752460589167,8,DICNUY
DICNUY,-21027.408520132463,4,DICNUY
DIKTAT01,-8806.903690819225,4,DIKTAT
DIKTAT02,-8805.740080030739,4,DIKTAT
DIKTAT,-8805.728785255424,4,DIKTAT
DIPGIS10,-6750.743543664138,16,DIPGIS
DIPGIS12,-6751.5537716273875,8,DIPGIS
DIPGIS13,-6751.184008905519,8,DIPGIS
DIRRAX02,-9540.546481374056,16,DIRRAX
DIRRAX,-9541.874522562875,16,DIRRAX
DIRRAX01,-9538.883522960812,4,DIRRAX
DLNLUA03,-12255.68637894965,4,DLNLUA
DLNLUA05,-12252.136190338855,8,DLNLUA
DLNLUA04,-12251.783011096968,8,DLNLUA
DMANTL01,-7156.621293674581,8,DMANTL
DMANTL,-7158.6226868538315,8,DMANTL
DMANTL10,-7157.445416322075,4,DMANTL
DMFUSC02,-25542.66101549724,4,DMFUSC
DMFUSC01,-25544.750539763972,4,DMFUSC
DMFUSC,-25535.86411085766,4,DMFUSC
DMOXBA06,-14099.6415768143,4,DMOXBA
DMOXBA03,-14066.56233751622,8,DMOXBA
DMOXBA01,-14102.1627472316,4,DMOXBA
DOLBIR08,-5814.019365718775,2,DOLBIR
DOLBIR07,-5815.417615484213,4,DOLBIR
DOLBIR,-5814.854819524467,3,DOLBIR
DONTIJ,-26568.830918241812,4,DONTIJ
DONTIJ09,-26574.684147238277,4,DONTIJ
DONTIJ03,-26570.31459799716,4,DONTIJ
DOPLOL,-14434.109191508313,4,DOPLOL
DOPLOL02,-14436.857314183824,8,DOPLOL
DOPLOL03,-14435.672106072332,8,DOPLOL
DOPLOL05,-14439.550266977549,4,DOPLOL
DOQWEN01,-19291.90084662649,4,DOQWEN
DOQWEN02,-19285.59469460726,4,DOQWEN
DOQWEN,-19289.221482056524,8,DOQWEN
DORDUM04,-30881.736477634247,4,DORDUM
DORDUM,-30879.720383517975,2,DORDUM
DORDUM01,-30878.331555271576,2,DORDUM
DPANTR08,-14652.920597918044,8,DPANTR
DPANTR11,-14656.954174810957,8,DPANTR
DPANTR,-14659.508139635513,8,DPANTR
DPYRAM02,-14436.327691495768,8,DPYRAM
DPYRAM,-14439.444945157613,8,DPYRAM
DPYRAM01,-14436.113125137612,4,DPYRAM
DUDCUC01,-16151.74307207225,2,DUDCUC
DUDCUC,-16153.22464145944,8,DUDCUC
DUDCUC02,-16151.8483825552,4,DUDCUC
DUDZIL01,-18389.875794764812,4,DUDZIL
DUDZIL03,-18395.9023942808,4,DUDZIL
DUDZIL,-18398.224974205637,4,DUDZIL
DUSFUV,-20165.418043352387,4,DUSFUV
DUSFUV01,-20161.18029660128,8,DUSFUV
DUSFUV03,-20164.11926214436,4,DUSFUV
DUZNOE02,-23772.468314295777,2,DUZNOE
DUZNOE01,-23774.604094918785,4,DUZNOE
DUZNOE03,-23775.12841949489,4,DUZNOE
EFONOE09,-11993.927728901986,8,EFONOE
EFONOE22,-11993.84739054613,8,EFONOE
EFONOE,-11993.564445992111,8,EFONOE
EFOPAS11,-11994.918588001618,8,EFOPAS
EFOPAS,-11997.49036480142,8,EFOPAS
EFOPAS09,-11994.181583349113,8,EFOPAS
EFOPAS02,-11996.909236490665,16,EFOPAS
EFOZAB01,-13467.76589605786,4,EFOZAB
EFOZAB,-13461.897396621662,4,EFOZAB
EFOZAB02,-13465.984826858536,4,EFOZAB
EFUMAU06,-7564.482417205069,8,EFUMAU
EFUMAU,-7561.72677822745,4,EFUMAU
EFUMAU03,-7560.606347853437,4,EFUMAU
EHOWIH05,-9752.775496556224,4,EHOWIH
EHOWIH,-9751.134994664912,4,EHOWIH
EHOWIH16,-9745.003871983574,4,EHOWIH
EHOWIH02,-9752.909147457618,8,EHOWIH
EHOWIH03,-9752.27116126,8,EHOWIH
EJEQAL04,-39018.1179682582,4,EJEQAL
EJEQAL08,-39026.38979374483,4,EJEQAL
EJEQAL07,-39026.91046202185,4,EJEQAL
EJOGUH,-19609.933182058037,4,EJOGUH
EJOGUH02,-19609.713774926822,4,EJOGUH
EJOGUH01,-19609.857664213385,4,EJOGUH
EPANIU03,-28357.146793787837,4,EPANIU
EPANIU,-28368.484567640586,4,EPANIU
EPANIU07,-28331.306723333535,4,EPANIU
ETDIAM15,-3143.2049910812502,4,ETDIAM
ETDIAM18,-3143.683507956325,4,ETDIAM
ETDIAM01,-3143.4562910880004,4,ETDIAM
ETEDOX02,-12796.535023065482,8,ETEDOX
ETEDOX,-12794.375341298875,4,ETEDOX
ETEDOX01,-12800.964026242988,8,ETEDOX
ETEYUX02,-17491.150970115952,4,ETEYUX
ETEYUX01,-17509.29565096701,8,ETEYUX
ETEYUX,-17501.858887114755,8,ETEYUX
EWEVIM01,-12415.00495791244,4,EWEVIM
EWEVIM02,-12410.395519302292,12,EWEVIM
EWEVIM,-12411.7444839669,4,EWEVIM
EWUVEY01,-4361.776199778231,8,EWUVEY
EWUVEY02,-4360.446803678696,24,EWUVEY
EWUVEY,-4360.870540913606,8,EWUVEY
FACZUF01,-21481.383264370776,4,FACZUF
FACZUF03,-21479.07369279485,2,FACZUF
FACZUF,-21479.71987020715,4,FACZUF
FAGLIM,-25305.8411873686,3,FAGLIM
FAGLIM04,-25306.223816244612,4,FAGLIM
FAGLIM01,-25305.64345993446,4,FAGLIM
FAGLIM03,-25306.375944385323,2,FAGLIM
FAHNOR05,-10338.572239947182,8,FAHNOR
FAHNOR,-10341.044913988324,4,FAHNOR
FAHNOR07,-10340.923199005068,8,FAHNOR
FARPOF02,-20541.198824005533,8,FARPOF
FARPOF01,-20547.625069095164,4,FARPOF
FARPOF,-20547.081716229783,4,FARPOF
FARRUM06,-33650.29442190877,2,FARRUM
FARRUM03,-33663.77728742825,2,FARRUM
FARRUM,-33663.02367638057,2,FARRUM
FEBKOP01,-17446.91377545659,4,FEBKOP
FEBKOP,-17445.191945876348,4,FEBKOP
FEBKOP02,-17447.962868560397,8,FEBKOP
FENTOH,-11186.822315857906,8,FENTOH
FENTOH02,-11187.211054525938,8,FENTOH
FENTOH03,-11186.8083890924,8,FENTOH
FEPROJ01,-23964.827760271135,6,FEPROJ
FEPROJ02,-23963.575084500764,4,FEPROJ
FEPROJ,-23968.7315562358,2,FEPROJ
FESVEH02,-31323.081600947524,4,FESVEH
FESVEH,-31310.133743305774,4,FESVEH
FESVEH01,-31328.958418837996,4,FESVEH
FEVMUO,-18888.766210875812,4,FEVMUO
FEVMUO02,-18893.79594751304,8,FEVMUO
FEVMUO03,-18888.73090227047,3,FEVMUO
FEVMUO06,-18892.04450330933,8,FEVMUO
FIGJUC,-18367.6816953899,4,FIGJUC
FIGJUC02,-18366.608506725224,6,FIGJUC
FIGJUC03,-18365.415136103336,4,FIGJUC
FINBAI01,-4400.817463593925,4,FINBAI
FINBAI,-4400.23839584095,4,FINBAI
FINBAI02,-4400.0622754989245,6,FINBAI
FITYAL02,-18466.76241494245,4,FITYAL
FITYAL,-18468.3651513987,1,FITYAL
FITYAL01,-18464.415304912425,2,FITYAL
FITYOZ,-18477.662939519476,8,FITYOZ
FITYOZ02,-18482.620117748214,8,FITYOZ
FITYOZ01,-18482.682568508713,4,FITYOZ
FIVBEU01,-18315.968620773823,4,FIVBEU
FIVBEU,-18315.422462848288,4,FIVBEU
FIVBEU02,-18318.97055652852,8,FIVBEU
FOMSUY,-22611.806905339225,4,FOMSUY
FOMSUY01,-22611.8653438916,4,FOMSUY
FOMSUY02,-22603.990621357658,8,FOMSUY
FOSMIL01,-24317.665627454473,2,FOSMIL
FOSMIL03,-24316.407586072848,2,FOSMIL
FOSMIL,-24331.183806725163,4,FOSMIL
FOVRUE02,-22339.788032913977,4,FOVRUE
FOVRUE,-22347.240109779978,4,FOVRUE
FOVRUE01,-22346.38513882767,4,FOVRUE
FOVRUE04,-22345.2437179007,4,FOVRUE
FOXREQ01,-8720.907479769681,8,FOXREQ
FOXREQ,-8722.962398485106,8,FOXREQ
FOXREQ02,-8721.98825975355,8,FOXREQ
FPAMCA11,-19310.03328377226,4,FPAMCA
FPAMCA12,-19304.958681248212,8,FPAMCA
FPAMCA,-19304.4840404168,8,FPAMCA
FPAMCA17,-19306.83427511355,4,FPAMCA
FUCTIG04,-9498.106148458211,8,FUCTIG
FUCTIG,-9497.334466011249,8,FUCTIG
FUCTIG02,-9499.142439691006,16,FUCTIG
FUGQUT01,-8971.5150931542,16,FUGQUT
FUGQUT,-8969.07582788855,8,FUGQUT
FUGQUT02,-8969.853663364873,16,FUGQUT
FURDCB04,-10034.901071663438,4,FURDCB
FURDCB05,-10040.04600198338,8,FURDCB
FURDCB01,-10035.963269239335,4,FURDCB
FURHUV13,-417.1933793194796,128,FURHUV
FURHUV15,-417.1940495284109,128,FURHUV
FURHUV01,-416.9655355398672,32,FURHUV
FURHUV11,-417.2009358965355,128,FURHUV
FURHUV10,-417.0074135576001,48,FURHUV
FURHUV,-417.198173154091,128,FURHUV
FURHUV14,-417.20007444378126,128,FURHUV
FURHUV18,-417.1976061388824,128,FURHUV
FURSEM16,-20018.264615931927,2,FURSEM
FURSEM01,-20020.588423387177,4,FURSEM
FURSEM14,-20015.681002352325,4,FURSEM
FUWFAG06,-29535.228188378635,4,FUWFAG
FUWFAG,-29532.950704095525,2,FUWFAG
FUWFAG01,-29530.60471642726,4,FUWFAG
GADGUN09,-16011.043033022224,4,GADGUN
GADGUN02,-16019.625153304,2,GADGUN
GADGUN,-16020.2724885363,2,GADGUN
GADGUN17,-16019.617379025123,2,GADGUN
GAVLEY,-15595.680156358636,4,GAVLEY
GAVLEY02,-15586.4828851048,4,GAVLEY
GAVLEY01,-15595.649723059938,4,GAVLEY
GEHXEX02,-25330.1036026424,2,GEHXEX
GEHXEX,-25333.338025396723,2,GEHXEX
GEHXEX04,-25331.674444775836,4,GEHXEX
GEKGOV01,-18467.631601271012,4,GEKGOV
GEKGOV,-18469.20440422086,4,GEKGOV
GEKGOV02,-18467.13091793204,4,GEKGOV
GEYDEX02,-18601.512789927,4,GEYDEX
GEYDEX01,-18603.708702655353,4,GEYDEX
GEYDEX,-18602.33975610805,4,GEYDEX
GICKEM,-34661.25587797562,2,GICKEM
GICKEM02,-34669.46127957007,4,GICKEM
GICKEM01,-34661.59832109035,2,GICKEM
GIXLOR03,-12999.710649526423,2,GIXLOR
GIXLOR,-12998.439679637226,2,GIXLOR
GIXLOR01,-13000.974927698451,2,GIXLOR
GIXLOR02,-13000.240439977775,8,GIXLOR
GLUTAS05,-21954.994110689473,4,GLUTAS
GLUTAS02,-21991.0539615924,4,GLUTAS
GLUTAS04,-21972.101282305222,4,GLUTAS
GLYCIN,-5814.0128057036245,2,GLYCIN
GLYCIN18,-5814.906120598967,3,GLYCIN
GLYCIN67,-5812.845661393225,4,GLYCIN
GLYCIN01,-5815.422155183866,3,GLYCIN
GLYCIN02,-5814.3748593946,4,GLYCIN
GOTQEL,-10061.047771930163,8,GOTQEL
GOTQEL02,-10061.885115716195,12,GOTQEL
GOTQEL01,-10072.977259342411,16,GOTQEL
GRISFL40,-25049.343866059426,2,GRISFL
GRISFL,-25059.836447955837,4,GRISFL
GRISFL14,-25053.17743557765,4,GRISFL
GRISFL32,-25050.928785434764,6,GRISFL
GUPFAB02,-20095.114170431963,8,GUPFAB
GUPFAB,-20093.153143440948,2,GUPFAB
GUPFAB01,-20094.767870088148,2,GUPFAB
GUYVUU09,-22425.086324902088,4,GUYVUU
GUYVUU01,-22424.383467376538,4,GUYVUU
GUYVUU,-22429.174745557488,4,GUYVUU
HALTAP08,-16393.142377886812,4,HALTAP
HALTAP04,-16393.783331842427,4,HALTAP
HALTAP06,-16393.688582607574,4,HALTAP
HALTAP03,-16393.955950020165,4,HALTAP
HALTAP07,-16393.237848105826,4,HALTAP
HALTAP09,-16393.9396853025,4,HALTAP
HALTAP05,-16393.798145908113,4,HALTAP
HANFOS,-16804.299767197226,4,HANFOS
HANFOS06,-16803.68507525255,4,HANFOS
HANFOS07,-16802.441242252025,4,HANFOS
HANFOS11,-16800.750306083333,8,HANFOS
HANFOS10,-16801.054527750763,4,HANFOS
HANFOS01,-16806.329227259943,8,HANFOS
HANFOS08,-16805.179602092812,4,HANFOS
HAVBIQ,-17369.669952130138,4,HAVBIQ
HAVBIQ05,-17370.57954661791,4,HAVBIQ
HAVBIQ01,-17368.065899377274,2,HAVBIQ
HCCYHG05,-1474.336679542148,24,HCCYHG
HCCYHG06,-1474.4924871383355,48,HCCYHG
HCCYHG02,-1474.6261483314622,24,HCCYHG
HECPAJ02,-32618.01115527075,2,HECPAJ
HECPAJ01,-32606.13767957191,4,HECPAJ
